0 0 0.000000 
0 1 0.000000 
0 2 0.000000 
0 3 0.000000 
0 4 0.000000 
0 5 0.000000 
0 6 0.000000 
0 7 0.000000 
0 8 0.000000 
0 9 0.000000 
0 10 0.000000 
0 11 0.000000 
0 12 0.000000 
0 13 0.000000 
0 14 0.000000 
0 15 0.000000 
0 16 0.000000 
0 17 0.000000 
0 18 0.000000 
0 19 0.000000 
0 20 0.000000 
0 21 0.000000 
0 22 0.000000 
0 23 0.000000 
0 24 0.000000 
0 25 0.000000 
0 26 0.000000 
0 27 0.000000 
0 28 0.000000 
0 29 0.000000 
0 30 0.000000 
0 31 0.000000 
0 32 0.000000 
0 33 0.000000 
0 34 0.000000 
0 35 0.000000 
0 36 0.000000 
0 37 0.000000 
0 38 0.000000 
0 39 0.000000 
0 40 0.000000 
0 41 0.000000 
0 42 0.000000 
0 43 0.000000 
67 0 0.754521 
67 1 0.732697 
67 2 0.711132 
67 3 0.689902 
67 4 0.668945 
67 5 0.648406 
67 6 0.628154 
67 7 0.608399 
67 8 0.588944 
67 9 0.570059 
67 10 0.551485 
67 11 0.533546 
67 12 0.515928 
67 13 0.498999 
67 14 0.482397 
67 15 0.466529 
67 16 0.450992 
67 17 0.436221 
67 18 0.421782 
67 19 0.408129 
67 20 0.394803 
67 21 0.382274 
67 22 0.370066 
67 23 0.358651 
67 24 0.347548 
67 25 0.337224 
67 26 0.327200 
67 27 0.317933 
67 28 0.308951 
67 29 0.300694 
67 30 0.292706 
67 31 0.285405 
67 32 0.278355 
67 33 0.271948 
67 34 0.265773 
67 35 0.260193 
67 36 0.254826 
67 37 0.250004 
67 38 0.245375 
67 39 0.241240 
67 40 0.237279 
67 41 0.233760 
67 42 0.230396 
67 43 0.227425 
67 44 0.224591 
67 45 0.222102 
67 46 0.219733 
67 47 0.217664 
67 48 0.215699 
67 49 0.213992 
67 50 0.212376 
67 51 0.210979 
67 52 0.209659 
134 0 0.740877 
134 1 0.719637 
134 2 0.698676 
134 3 0.677968 
134 4 0.657622 
